timestamp,x,y,z
1747382226061909,-0.053835,0.203556,1.21763
1747382226061913,-0.066219,-0.0935299,1.19005
1747382226061924,-0.050215,0.225077,1.23197
1747382226061947,-0.0552797,-0.188041,1.14309
1747382226061959,-0.129793,-0.383318,1.00425
1747382226061972,-0.273322,0.08572,0.969665
1747382226061988,-0.0359092,0.278624,1.2355
1747382226061994,-0.208598,0.411379,0.981052
1747382226061998,-0.218862,0.420848,1.01295
1747382226062001,-0.346847,0.21607,1.02706
1747382226062001,-0.026421,-0.0934626,0.438378
1747382226062005,-0.0327431,0.238067,1.12349
1747382226062008,-0.0136886,0.0532778,0.308913
1747382226062011,-0.0508215,-0.111339,1.04993
1747382226062032,-0.0198463,0.300011,1.16867
1747382226062035,-0.0457173,0.26211,1.23697
1747382226062037,0.00300513,0.122758,0.288914
1747382226062039,-0.134379,-0.431581,1.06549
1747382226062044,-0.0387317,0.246749,1.17514
1747382226062056,-0.340839,0.0375743,1.12652
1747382226062084,0.00319313,0.374581,1.16731
1747382226062102,-0.210163,0.413686,0.937688
1747382226062107,-0.0544545,-0.202045,1.06409
1747382226062109,-0.118521,0.0138723,0.549606
1747382226062110,-0.0292857,0.26201,1.17181
1747382226062115,-0.272441,0.503568,1.06537
1747382226062122,-0.0360508,0.26684,1.23687
1747382226062154,-0.00536567,0.119167,0.400494
1747382226062174,-0.0512852,0.00756972,1.05805
1747382226062175,-0.00232053,0.432647,1.30914
1747382226062182,-0.0554809,-0.201997,1.07482
1747382226062263,-0.0407237,0.353591,1.4319
1747382226062281,0.00184453,0.126195,0.30436
1747382226062305,-0.00144127,0.388433,1.22541
1747382226062305,-0.250553,0.461647,0.936909
1747382226062318,-0.0519406,-0.0726776,1.08565
1747382226062333,-0.0548852,0.290685,1.35899
1747382226062353,-0.016485,0.115065,0.231487
1747382226062389,0.00288847,0.523485,1.31311
1747382226062394,-0.0497586,0.216889,1.22624
1747382226062402,0.00331575,0.408072,1.22717
1747382226062404,-0.0494016,0.029813,1.03884
1747382226062410,-0.0512693,0.00343868,1.05777
1747382226062410,0.00710749,0.402914,1.18424
1747382226062419,-0.18789,0.0701892,0.71503
1747382226062439,-0.0574198,-0.151979,0.540232
1747382226062440,-0.0333551,0.249093,1.16451
1747382226062443,-0.00709485,0.35944,1.24107
1747382226062463,-0.188776,0.369875,0.978624
1747382226062464,-0.224064,0.446313,1.45572
1747382226062487,-0.172399,-0.402142,1.18098
1747382226062496,-0.0116413,0.343444,1.23535
1747382226062511,-0.0872121,-0.488567,1.00748
1747382226062515,-0.178324,0.335374,1.02669
1747382226062525,-0.01107,0.322381,1.17589
1747382226062527,-0.20776,0.42923,1.38262
1747382226062535,-0.352598,0.224681,1.04767
1747382226062537,-1.21818,-2.02361,6.87198
1747382226062553,-0.0503355,-0.193848,1.06474
1747382226062563,-0.16724,0.321783,0.985041
1747382226062578,0.00535471,0.117286,0.241641
1747382226062581,-0.105189,-0.439164,0.98434
1747382226062593,-0.00203989,0.331036,1.1276
1747382226062608,-0.0584557,0.179509,1.21544
1747382226062615,-0.0673332,0.192715,1.28804
1747382226062621,-0.0485861,-0.171281,1.09279
1747382226062654,-0.0553189,-0.179229,1.14378
1747382226062654,0.00804588,0.482551,1.2343
1747382226062655,-0.000620335,0.114473,0.369884
1747382226062655,-0.113686,-0.432924,1.00118
1747382226062659,-0.0720233,-0.245677,1.13114
1747382226062662,-0.196056,0.131466,0.675113
1747382226062664,0.00761676,0.491882,1.24595
1747382226062677,-0.055958,0.0524221,1.08681
1747382226062682,0.00531502,0.117846,0.241838
1747382226062684,-0.0467211,-0.102603,0.985939
1747382226062688,-0.0516323,0.0137872,1.06184
1747382226062692,-0.260469,0.491813,1.06746
1747382226062694,0.00379119,0.12627,0.272954
1747382226062699,-0.0482412,-0.100381,1.00181
1747382226062706,-0.0537761,-0.0417534,1.10633
1747382226062716,-0.379737,0.296344,1.125
1747382226062738,-0.0250085,0.274497,1.17665
1747382226062741,-0.0365542,-0.110165,0.481757
1747382226062742,-0.00619586,0.325508,1.12335
1747382226062744,-0.0604153,-0.04575,1.15408
1747382226062748,-0.416771,0.368134,1.24908
1747382226062750,-0.205946,0.138758,0.698759
1747382226062751,-0.314855,-0.387003,1.05422
1747382226062781,-0.124356,-0.453948,1.05472
1747382226062790,0.00278296,0.127111,0.275936
1747382226062805,-0.108487,0.0907765,0.475883
1747382226062811,-0.050992,0.0550026,1.05628
1747382226062815,-0.0536873,0.0295425,1.10735
1747382226062816,-0.0421668,0.0770203,0.323416
1747382226062825,-1.72781,-0.377783,5.24375
1747382226062829,-0.0766713,0.0972994,0.40541
1747382226062840,-0.0341028,-0.107278,0.473023
1747382226062853,-0.0535135,-0.013637,1.10429
