timestamp,x,y,z
1747405352655868,-1.10456,-0.970764,2.14644
1747405352655876,-0.752138,-0.202853,1.47259
1747405352655881,-0.330062,-0.209886,0.614013
1747405352655894,-0.575767,-0.580733,1.33787
1747405352655894,-0.626921,-0.445689,1.18308
1747405352655901,-2.59169,-0.705268,4.65538
1747405352655919,-0.806188,-0.104677,1.54372
1747405352655955,-0.702342,-0.687122,1.43982
1747405352655966,-14.7352,-0.617229,24.6068
1747405352655973,-1.1139,-1.03095,2.13283
1747405352655993,-0.659107,-0.5562,1.47894
1747405352656112,-0.727147,-0.00750599,1.34322
1747405352656120,-1.01336,-0.479054,1.91237
1747405352656152,-0.672432,-0.141935,1.30683
1747405352656154,-0.755407,-0.104464,1.45716
1747405352656171,-2.75869,-2.1817,5.05965
1747405352656183,-0.828119,-0.418893,1.54052
1747405352656187,-0.643332,-0.310653,1.25018
1747405352656191,-0.600505,-0.603599,1.31361
1747405352656292,-0.866137,-0.0981411,1.63455
1747405352656306,-0.807333,-0.238768,1.55731
1747405352656319,-0.839289,-0.583084,1.53937
1747405352656330,-0.818491,-0.41389,1.55585
1747405352656339,-2.31554,-2.06184,4.37003
1747405352656363,-0.214068,-0.160296,0.464389
1747405352656380,-0.789728,-0.554279,1.44847
1747405352656412,-0.742973,-0.478001,1.51127
1747405352656421,-0.619278,-0.492913,1.28981
1747405352656423,-0.609437,-0.633909,1.41615
1747405352656428,-0.521306,-0.526223,1.13083
1747405352656472,-0.765763,-0.05825,1.43478
1747405352656505,-0.589823,-0.470479,1.1378
1747405352656509,-0.519683,-0.547548,1.20754
1747405352656515,-0.299509,-0.029753,0.569345
1747405352656530,-1.50868,-1.09302,2.69158
1747405352656542,-0.763243,-0.0696767,1.44039
1747405352656545,-0.764154,-0.208628,1.4526
1747405352656559,-0.821784,-0.418608,1.55082
1747405352656571,-0.756839,-0.373929,1.48179
1747405352656591,-0.680937,-0.339165,1.31351
1747405352656613,-0.999931,-0.21389,1.90083
1747405352656636,-0.562732,-0.500936,1.09354
1747405352656638,-1.36071,-0.965093,2.411
1747405352656649,-0.459187,-0.451073,0.941377
1747405352656663,-0.732488,-0.373148,1.3724
1747405352656664,-0.803154,-0.202886,1.56077
1747405352656670,-0.939667,-0.52977,1.53005
1747405352656674,-0.664192,-0.555778,1.24441
1747405352656680,-0.569111,-0.502067,1.24489
1747405352656740,-23.6798,-20.7985,45.0112
1747405352656746,-0.805788,-0.29786,1.56589
1747405352656747,-0.767581,-0.0302019,1.42798
1747405352656807,-0.939163,-0.0295351,1.71062
1747405352656835,-0.678237,-0.337747,1.31802
1747405352656841,-0.81516,-0.409134,1.56089
1747405352656853,-0.825477,-0.432537,1.54663
1747405352656869,-0.753034,-0.753286,1.68962
1747405352656882,-0.87046,-0.0594491,1.61934
1747405352656886,-0.675374,-0.226712,1.31247
1747405352656891,-0.444034,0.0111409,0.803226
1747405352656896,-0.341865,-0.142908,0.669325
1747405352656897,-5.76255,-1.57625,10.1418
1747405352656919,-0.75083,-0.156795,1.47003
1747405352656920,-0.479602,-0.5008,1.09493
1747405352656971,-0.283896,-0.27659,0.637001
1747405352656981,-0.246563,-0.174112,0.521887
1747405352656988,-0.238084,-0.172854,0.512241
1747405352657001,-0.675054,-0.131325,1.30225
1747405352657029,-0.481376,-0.0415743,0.858809
1747405352657044,-0.370218,-0.0365148,0.698673
1747405352657052,-0.418175,-0.42561,0.922436
1747405352657056,-0.619682,-0.0381052,1.16109
1747405352657063,-0.269622,-0.169794,0.540065
1747405352657081,-0.498026,-0.292261,0.859139
1747405352657083,-0.430405,-0.447807,1.0092
1747405352657084,-0.650232,-0.378382,1.15214
1747405352657087,-0.475675,-0.498969,1.09564
1747405352657091,-0.24361,-0.238336,0.551404
1747405352657104,-0.351271,-0.25094,0.743525
1747405352657105,-0.594326,-0.604875,1.32216
1747405352657116,-0.870513,-0.430442,1.66688
1747405352657136,-1.16411,-1.01989,2.50439
1747405352657144,-0.758451,-0.104125,1.45231
1747405352657164,-61.7298,-33.1603,109.382
1747405352657185,-3.30577,-1.79996,5.93825
1747405352657213,-4.42723,-3.05403,7.89834
1747405352657222,-0.622175,-0.522313,1.39603
1747405352657228,-1.04537,-0.784391,1.87784
1747405352657249,-1.10306,-0.521775,2.06669
1747405352657268,-1.69963,-1.31987,3.07428
1747405352657273,-0.314093,-0.318243,0.736496
1747405352657276,-1.13284,-0.785352,2.02095
1747405352657286,-0.806615,-0.116743,1.54453
1747405352657299,-0.970548,-0.741095,2.05419
1747405352657317,-0.282526,-0.272018,0.618055
1747405352657351,-0.927658,-0.440947,1.80271
1747405352657361,-0.646067,-0.316958,1.24626
1747405352657371,-0.253633,-0.12249,0.492962
1747405352657374,-0.858539,-0.375223,1.68097
1747405352657374,-0.752777,-0.366057,1.48501
1747405352657383,-0.71297,-0.408997,1.16821
1747405352657387,-1.70339,-1.3434,3.05972
1747405352657391,-1.62986,-0.153109,2.92772
1747405352657393,-0.599979,-0.589555,1.22042
1747405352657421,-0.817182,-0.662008,1.78751
1747405352657427,-0.360506,-0.0876313,0.705867
1747405352657447,-1.13371,-0.749474,2.0088
1747405352657464,-0.24364,-0.240501,0.551469
1747405352657479,-0.645878,-0.639824,1.50078
1747405352657487,-0.298915,-0.128177,0.589654
1747405352657516,-0.881793,-0.427334,1.43581
1747405352657523,-0.751981,-0.197089,1.47228
1747405352657524,-0.453118,-0.0144481,0.837011
1747405352657534,-0.614888,-0.54963,1.40383
1747405352657534,-0.753069,-0.127663,1.46345
1747405352657549,-0.760273,-0.0699044,1.44522
