timestamp,x,y,z
1746788223917089,21.4774,6.23044,97.759
1746788223917150,24.2057,13.7993,120.246
1746788223917266,29.321,19.8574,148.319
1746788223917497,24.8047,20.5755,128.385
1746788225645832,691.367,272.722,-1443.37
1746788225645892,-295.509,-264.4,908.769
1746788225646061,231.727,-80.0415,-392.582
1746788225646077,-317.248,-258.232,1020.1
1746788225646127,242.092,-19.1564,-389.762
1746788225646178,-288.731,-210.731,971.49
1746788225646254,-181.239,-89.2955,691.559
1746788225646267,190.37,-10.7493,-260.332
1746788225646319,1076.79,-243.285,-1496.22
1746788225646463,258.479,-62.5528,-385.764
1746788225646554,-610.01,-523.138,1685.46
1746788225646566,208.542,-16.783,-319.673
1746788225646607,-1095.27,-713.264,2560.28
1746788225646630,286.653,58.6213,-498.428
1746788225646731,-2371.65,-1307.7,5788.88
1746788225646791,428.718,219.916,-908.202
1746788225646819,-281.251,-149.497,986.583
1746788225646889,-267.32,35.0955,514.32
1746788225647078,-2936.89,97.1517,4439.04
1746788225647235,435.561,200.399,-766.497
1746788225647305,-71.4291,54.6147,224.174
1746788225647357,-111.728,-45.6978,446.39
1746788225647412,-103.205,-48.2142,405.012
1746788225647464,216.568,-63.806,-345.841
1746788225647599,-225.766,33.0186,455.117
1746788225647635,-151.666,-54.6631,534.718
1746788225647875,-148.718,75.0048,345.102
1746788225647949,-188.149,-42.7111,740.413
1746788225648127,-197.709,-140.118,691.103
1746788225648239,-943.754,-237.433,2707.78
1746788225655650,-384.399,-308.905,1200.86
1746788225655715,-456.837,-332.609,1146.12
1746788225655809,5536.67,-575.773,-11499.4
1746788225655829,-2434.63,-1670.37,6623.35
1746788225655868,975.701,-303.51,-2314.02
1746788225655975,237.062,-27.5984,-389.582
1746788225656084,-230.008,-67.0033,798.546
1746788225656085,-124.655,-76.291,449.681
1746788225656247,197.923,-40.183,-287.507
1746788225656268,-126.449,69.4098,306.701
1746788225656270,195.559,-52.9684,-295.043
1746788225656395,-88.3308,115.297,244.68
1746788225656431,-197.845,-156.215,686.978
1746788225656455,-708.816,501.398,1157.98
1746788225656483,177.997,-34.6994,-256.76
1746788225656531,-237.638,105.027,484.777
1746788225656537,-124.285,-41.8934,452.276
1746788225656539,-85.8096,47.0327,244.576
1746788225656571,-155.816,68.401,348.855
1746788225656591,199.807,-44.7934,-305.167
1746788225656612,-220.813,94.177,453.065
1746788225656618,-138.099,-102.014,429.621
1746788225656674,181.819,-54.4413,-294.515
1746788225656716,-883.506,564.292,1358.89
1746788225656807,22089.8,-5374.38,-31831.5
1746788225656820,-73.4692,54.9172,226.843
1746788225656921,195.84,-48.3669,-295.016
1746788225656952,-926.264,-626.835,2137.55
1746788225656975,205.442,-26.1729,-300.546
1746788225657100,-203.84,-78.0005,589.925
1746788225657419,-98.4364,-86.512,443.291
1746788225657555,168.598,-16.0045,-204.034
1746788225657626,-128.515,-106.292,443.84
1746788225657660,-553.82,-58.8259,1430.14
1746788225657729,359.085,-112.722,-693.341
1746788226155636,-86.8561,122.408,279.633
1746788226155706,-374.468,155.673,768.009
1746788226155779,379.533,-85.5523,-636.15
1746788226155800,255.707,-28.7055,-367.399
1746788226155930,2378.38,-575.588,-4341.11
1746788226155936,-340.964,45.2051,686.168
1746788226155937,166.56,-10.4527,-227.657
1746788226156024,6261.52,-4507.87,-9905.29
1746788226156147,271.815,-40.762,-401.695
1746788226156151,-47.6283,38.8021,188.359
1746788226156166,279.788,-43.8034,-422.35
1746788226156351,-417.265,377.168,798.772
1746788226156400,99631.6,-63689.9,-160900
1746788226156441,-234.902,172.148,453.353
1746788226156456,-151.623,134.617,332.278
1746788226156456,-484.286,423.561,921.975
1746788226156563,-284.495,292.428,628.758
1746788226156574,-215.799,210.946,467.75
1746788226156632,-1681.17,1328.93,3038.14
1746788226156765,-297.396,235.143,606.576
1746788226156931,734.257,-622.426,-1431.76
1746788226156992,1512.54,-173.965,-3130.01
