timestamp,x,y,z
1746794274122384,-333.28,-184.111,565.36
1746794275962027,-303.713,-196.736,519.969
1746794277000988,-294.39,-273.463,-732.659
1746794277000997,177.032,17.9351,205.303
1746794277000998,-253.465,-139.692,-736.98
1746794277000998,175.193,32.0935,229.922
1746794277001001,733.95,236.877,1075.26
1746794277001003,1.20677,-95.6485,-182.741
1746794277001007,-72.64,-110.131,-316.693
1746794277001015,531.512,256.132,776.841
1746794277001017,250.569,72.0522,274.504
1746794277001020,1264.86,54.954,1547.72
1746794277001024,-47.945,-172.145,-507.783
1746794277001028,202.094,44.0586,228.476
1746794277001029,370.24,121.337,410.417
1746794277001034,165.259,19.7378,197.824
1746794277001038,-104.634,-129.719,-369.869
1746794277001040,303.511,143.114,457.481
1746794277001043,-222.008,-40.5536,-525.875
1746794277001045,132.382,98.7014,488.664
1746794277001074,-88.8729,-91.3451,-325.252
1746794277001075,0.971009,-109.834,-264.603
1746794277001077,102.602,12.0574,142.94
1746794277001082,708.07,329.878,829.417
1746794277001104,220.566,149.922,325.314
1746794277001109,769.147,233.275,893.515
1746794277001113,494.701,108.73,590.02
1746794277001123,605.116,63.357,852.603
1746794277001123,-408.922,-105.461,-746.382
1746794277001126,-245.949,-85.4538,-660.826
1746794277001132,244.241,117.109,323.982
1746794277001141,105.069,19.1871,145.754
1746794277001147,126.306,35.5104,316.894
1746794277001148,213.873,89.321,250.155
1746794277001152,158.771,156.012,632.566
1746794277001163,-106.153,-54.2386,-328.452
1746794277001175,-118.116,-14.0513,-283.319
1746794277001182,97.7884,40.6455,110.999
1746794277001184,132.938,51.1066,154.784
1746794277001189,462.285,121.038,825.605
1746794277001200,-1484.65,-589.901,-2147.04
1746794277001202,94.7818,21.2009,118.484
1746794277001216,572.581,115.109,815.873
1746794277001218,346.856,100.138,410.823
1746794277001222,-692.862,-507.079,-1074.98
1746794277001222,339.243,184.712,396.205
1746794277001223,823.396,385.514,974.579
1746794277001224,108.125,33.5922,264.313
1746794277001236,246.73,73.9685,285.19
1746794277001246,496.58,107.436,590.21
1746794277001246,1293.65,665.42,1604.11
1746794277001252,1101.83,285.999,1620.4
1746794277001255,138.977,50.443,179.793
1746794277001267,66.2625,39.1577,96.2845
1746794277001269,200.332,79.1374,235.826
1746794277001275,152.351,56.9671,177.853
1746794277001283,-139.044,-106.321,-388.773
1746794277001284,-212.589,-49.8786,-419.762
1746794277001285,198.643,154.406,321.986
1746794277001286,139.828,11.259,165.922
1746794277001295,292.325,105.841,322.14
1746794277001315,-107.988,-85.4201,-347.133
1746794277001317,-377.736,-299.782,-567.807
1746794277001317,367.098,61.1414,456.364
1746794277001330,144.097,56.691,198.158
1746794277001330,252.045,96.1288,317.94
1746794277001334,176.479,68.7411,267.215
1746794277001343,524.133,440.517,808.752
1746794277001344,394.9,102.165,563.369
1746794277001349,-2092.53,-878.927,-2947.87
1746794277001350,111.289,37.7866,117.135
1746794277001357,290.481,152.026,421.451
1746794277001358,414.565,138.661,492.806
1746794277001358,131.372,55.1679,188.271
1746794277001363,-114.325,-59.6539,-405.487
1746794277001367,177.037,10.9894,203.643
1746794277001369,1529.75,1011.94,2454.93
1746794277001381,-5240.05,-2977.96,-7260.05
1746794277001381,-275.907,-113.382,-669.961
1746794277001387,292.813,116.825,340.388
1746794277001391,193.243,86.8651,251.031
1746794277001393,170.17,62.6564,195.821
1746794277001404,130.468,58.2994,179.709
1746794277001406,-844.865,-571.178,-1282.44
1746794277001413,118.674,7.87843,142.618
1746794277001421,382.619,40.5028,539.763
1746794277001425,-474.048,-362.313,-785.308
1746794277001427,254.739,33.161,305.753
1746794277001430,-376.202,-219.642,-851.253
1746794277001431,248.003,31.4424,302.867
1746794277001460,-140.976,-46.5004,-387.262
1746794277001464,136.989,18.7657,145.367
1746794277001464,131.992,37.6328,180.768
1746794277001467,183.264,41.4257,203.368
1746794277001467,620.886,274.13,909.184
1746794277001473,314.264,88.5657,372.717
1746794277001481,302.154,127.916,372.891
1746794277001485,1385.04,440.319,1739.13
1746794277001486,285.206,68.1531,405.664
1746794277001492,172.415,101.176,261.365
1746794277001494,102.649,87.1987,343.72
1746794277001495,182.946,56.6933,216.937
1746794277001497,-10.8963,-40.305,-177.451
1746794277001497,143.19,54.8033,174.436
1746794277001499,304.647,156.173,386.292
1746794277001501,207.331,44.1601,303.198
1746794277001504,1054.68,253.431,1242.83
1746794277001515,297.61,139.148,468.184
1746794277001516,191.064,11.4702,227.612
1746794277001524,131.07,56.1941,173.169
1746794277001526,104.197,30.0481,120.666
1746794277001527,273.584,94.816,324.036
1746794277001531,412.141,181.217,563.412
1746794277001537,205.59,118.471,301.28
1746794277001559,-147.456,-103.087,-424.985
1746794277001562,220.03,45.3484,287.506
1746794277001570,198.838,119.334,711.401
1746794277001571,557.982,190.229,786.987
1746794277001576,1452.39,299.704,2001.69
1746794277001592,186.052,14.9618,220.916
1746794277001598,188.431,98.3686,253.545
1746794277001599,-86.1702,-68.9595,-292.674
1746794277001605,299.904,41.8754,356.372
1746794277001606,622.746,229.037,926.122
1746794277001606,-17.9992,-82.5384,-314.353
1746794277001608,640.415,311.911,920.152
1746794277001609,57.7443,-22.1151,-68.1305
1746794277001613,-146.335,-73.1715,-457.666
1746794277001618,802.248,408.842,909.517
1746794277001620,77.3282,-39.3643,-92.636
1746794277001622,174.756,101.458,201.963
1746794277001625,247.767,87.4567,294.946
1746794277001634,153.843,41.1353,191.593
1746794277001636,-167.709,-83.1495,-358.126
1746794277001644,-69.897,-59.2746,-284.949
1746794277001655,145.268,36.0594,191.7
1746794277001659,682.974,1292.39,2722.57
1746794277001660,120.779,26.6686,171.197
1746794277001662,165.156,52.0704,191.969
1746794277001665,681.065,308.373,728.076
1746794277001667,105.806,34.0547,117.014
1746794277001674,241.183,37.5347,289.551
1746794277001687,324.409,65.6331,383.678
1746794277001695,784.711,383.777,914.652
1746794277001701,-109.359,-56.0083,-282.313
1746794277001703,234.143,128.778,335.475
1746794277001712,189.939,83.0938,223.757
1746794277001714,162.826,41.5846,231.308
1746794277001714,114.236,30.2308,117.227
1746794277001716,218.377,117.063,336.919
1746794277001724,212.37,85.5812,239.405
1746794277001730,233.602,6.71065,268.599
1746794277001735,431.26,65.2529,489.076
1746794277001737,-9795.5,-1268.86,-24031.2
1746794277001739,512.923,290.639,559.721
1746794277001739,133.157,12.8034,160.021
1746794277001741,-384.606,-894.254,-2026.15
1746794277001749,-214.97,-482.399,-1130.54
1746794277001753,124.368,89.9501,181.669
1746794277001754,144.176,55.9615,154.168
1746794277001758,130.473,59.9839,155.906
1746794277001760,214.058,124.244,490.919
1746794277001765,178.398,64.383,193.009
1746794277001780,-169198,-95683.6,-222740
1746794277001784,-206.195,-223.491,-724.57
1746794277001795,-4222.11,-870.174,-5992.13
1746794277001800,-1153.62,-176.755,-2668.32
1746794277001801,191.371,100.688,224.707
1746794277001802,346.776,59.2194,415.608
1746794277001804,278.328,140.096,327.765
1746794277001807,3629.97,352.249,6070.81
1746794277001811,97.8958,69.9891,156.853
1746794277001813,1654.48,235.128,2595.89
1746794277001814,-7846.98,-3873.93,-10822.2
1746794277001815,91.0671,15.4727,100.378
1746794277001825,-52.3689,-69.4407,-204.109
1746794277001833,1352.05,685.551,2165.73
1746794277001840,574.781,132.615,802.792
1746794277001846,77.0769,-20.2765,-98.5653
1746794277001847,609.703,73.8334,719.393
1746794277001848,60.4352,-20.1895,-70.0099
1746794277001849,1737.69,737.07,2232.47
1746794277001851,-1033.6,-520.519,-1536.7
1746794277001853,420.101,68.0862,531.751
1746794277001855,190.164,114.494,262.87
1746794277001867,143.794,46.4876,190.992
1746794277001871,535.595,425.18,1246.46
1746794277001872,-79.8641,-53.7023,-285.968
1746794277001878,447.376,140.966,483.692
1746794277001882,27237.7,9718.66,35291
1746794277001883,724.007,441.998,851.86
1746794277001884,234.908,102.094,243.299
1746794277001888,241.593,53.166,284.754
1746794277001892,0.940589,-55.5917,-168.152
1746794277001893,247.698,72.5875,312.433
1746794277001909,130.739,60.5874,182.375
1746794277001910,232.359,130.014,255.743
1746794277001914,591.636,145.928,793.567
1746794277001915,-148.93,-85.5846,-359.731
1746794277001920,197.595,177.403,329.736
1746794277001922,176.474,146.863,462.627
1746794277001926,345.734,158.277,442.519
1746794277001928,213.402,76.8961,241.757
1746794277001934,388.651,89.8187,457.926
1746794277001935,174.828,58.866,230.089
1746794277001938,84.1866,-26.2252,-101.041
1746794277001942,375.642,85.3878,537.912
1746794277001945,267.487,32.7069,338.699
1746794277001957,130.14,75.1975,173.417
1746794277001958,170.467,52.4089,184.354
1746794277001977,465.356,88.8954,572.532
1746794277001980,288.022,72.6792,408.627
1746794277001986,78.9477,24.7161,111.117
1746794277001992,507.878,89.9045,738.725
1746794277001993,194.219,76.1054,223.081
1746794277001993,1185.08,319.82,1458.96
1746794277001994,50.5199,-17.2538,-66.3264
1746794277001997,120.27,-19.8998,322.275
1746794277002001,-3254.54,-661.665,-4323.27
1746794277002003,342.072,150.534,454.207
1746794277002004,-913.658,-5.58536,-1841.02
1746794277002009,-190.104,-38.7389,-388.93
1746794277002016,316.709,222.92,509.143
1746794277002017,107.007,18.9847,126.089
1746794277002023,422.62,184.023,609.41
1746794277002031,63.255,-21.9012,-74.0585
1746794277002048,-1323.98,-603.954,-1941.52
1746794277002050,101.717,59.0883,161.066
1746794277002050,124.086,15.7874,177.495
1746794277002057,-70.1444,-108.938,-193.522
1746794277002065,246.274,88.5735,289.174
1746794277002078,-132.738,-61.3003,-329.615
1746794277002082,52.0702,-23.9028,-65.5928
1746794277002099,-156.038,-57.4954,-358.825
1746794277002103,253.243,135.515,293.95
1746794277002106,191.795,87.9968,220.962
1746794277002115,-79.866,-78.7896,-247.522
1746794277002116,216.311,46.3152,242.426
1746794277002119,755.71,303.954,848.174
1746794277002131,871.076,189.652,1703.4
1746794277002138,178.973,38.7367,209.953
1746794277002142,127.075,34.1108,137.248
1746794277002149,101.928,35.967,148.138
1746794277002152,438.386,237.329,667.505
1746794277002153,-4040.19,-1949.91,-4670.4
1746794277002160,6.58086,-86.9845,-209.046
1746794277002165,245.247,172.91,286.16
1746794277002166,-176.762,-39.8736,-449.011
1746794277002168,320.039,68.0967,451.568
1746794277002186,-1538.17,-366.014,-2187.6
1746794277002187,-73.7855,-161.269,-316.609
1746794277002215,137.06,61.6046,187.776
1746794277002237,119.061,33.9895,130.859
1746794277002237,53.7641,-28.1233,-62.9002
1746794277002238,152.978,59.6135,181.29
1746794277002245,490.643,167.387,691.959
1746794277002260,-29.308,-124.967,-368.328
1746794277002263,-589.279,-254.06,-937.048
1746794277002265,180.252,51.3795,206.413
1746794277002268,192.318,34.4718,241.398
1746794277002272,238.344,24.1847,278.058
1746794277002276,646.402,334.87,1000.15
1746794277002280,1033.49,409.564,1601.09
1746794277002290,120.612,218.6,598.626
1746794277002295,337.067,134.377,436.342
1746794277002299,-13.3746,-84.0193,-255.806
1746794277002304,176.937,52.2522,193.508
1746794277002304,-2297.89,-575.993,-3227.58
1746794277002305,998.982,243.544,1279.79
1746794277002308,894.796,460.282,1333.7
1746794277002309,111.518,17.4535,239.705
1746794277002310,182.4,85.9783,213.727
1746794277002313,167.513,88.2263,195.122
1746794277002321,492.038,195.928,518.038
1746794277002322,217.9,33.2094,251.947
1746794277002332,172.562,41.7467,204.483
1746794277002335,-665.104,-275.894,-1336.65
1746794277002337,328.107,100.855,371.543
1746794277002341,193.629,36.306,295.695
1746794277002349,52.8471,-15.6486,-62.0729
1746794277002353,5444.44,431.472,8689.8
1746794277002357,226.479,36.9235,266.504
1746794277002358,260.706,96.3051,290.835
1746794277002359,-69.1156,-119,-345.552
