timestamp,x,y,z
1747226739608463,-641.87,-497.951,996.736
1747226739608469,-642.03,-498.05,996.954
1747226739608607,-638.557,-495.723,992.238
1747226739608962,-634.695,-493.13,986.902
1747226739610432,-638.547,-495.884,992.417
1747226739610671,-640.698,-497.547,995.812
1747226739610683,-641.24,-497.897,996.55
1747226739610985,-638.26,-495.471,991.81
1747226739611769,-638.441,-495.956,992.577
1747226739612853,-637.988,-495.669,992.047
1747226739614166,-635.375,-493.49,987.689
1747226739614217,-635.249,-493.405,987.518
1747226739614226,-636.8,-494.434,989.624
1747226739615035,-637.304,-494.509,990.133
1747226739615815,-641.127,-497.599,996.039
1747226739616019,-639.12,-496.619,993.928
1747226739617029,-637.25,-495.156,990.919
1747226739617137,-636.371,-494.578,989.724
1747226739618393,-635.871,-493.313,987.695
1747226739618822,-634.547,-492.408,985.901
1747226739618830,-635.885,-493.315,987.715
1747226739620227,-635.836,-494.017,988.673
1747226739620264,-638.638,-495.898,992.477
1747226739620477,-641.549,-497.896,996.425
1747226739620617,-636.648,-494.359,989.44
1747226739620861,-640.075,-497.032,994.793
1747226739621069,-640.367,-497.206,995.192
1747226739621517,-635.88,-494.135,988.863
1747226739622035,-635.648,-493.967,988.526
1747226739623080,-638.942,-496.31,993.258
1747226739625039,-634.927,-493.448,987.48
1747226739625106,-637.444,-495.012,990.677
1747226739625244,-642.301,-498.447,997.487
1747226739626016,-630.408,-489.287,979.578
1747226739626091,-641.342,-497.652,995.967
1747226739627005,-642.015,-498.455,997.753
1747226739627029,-642.147,-498.544,997.932
1747226739627576,-642.459,-498.83,998.443
1747226739627640,-639.998,-497.186,995.099
1747226739628921,-643.606,-499.015,998.837
1747226739629884,-635.006,-493.553,987.63
1747226739630798,-641.527,-497.701,996.362
1747226739632584,-642.276,-498.517,998.023
1747226739632828,-637.264,-494.935,990.522
1747226739634059,-640.654,-497.459,995.667
1747226739634245,-636.953,-494.891,990.511
1747226739636014,-636.286,-494.228,989.128
1747226739637582,-638.879,-496.058,992.849
1747226739637978,-638.97,-495.07,991.152
1747226739639007,-641.032,-497.789,996.331
1747226739639585,-642.382,-498.748,998.296
1747226739639998,-643.934,-499.687,999.968
1747226739640050,-641.421,-497.977,996.776
1747226739642758,-639.151,-496.202,993.219
1747226739642904,-639.009,-496.114,993.024
1747226739643921,-643.409,-499.594,999.948
1747226739646112,-642.821,-498.992,998.566
1747226739646380,-636.635,-494.835,990.164
1747226739647323,-636.642,-494.832,990.174
1747226739648177,-625.318,-486.975,975.56
1747226739652414,-642.976,-498.691,998.454
1747226739652516,-639.477,-496.363,993.701
1747226739653063,-641.319,-497.955,996.699
1747226739654364,-641.289,-497.766,996.452
1747226739658619,-642.789,-499.061,998.957
1747226739660550,-639.307,-496.753,994.245
1747226739660571,-639.439,-496.835,994.425
1747226739660931,-639.431,-496.837,994.414
1747226739662071,-635.316,-493.043,987.178
1747226739663297,-640.494,-497.26,995.364
1747226739668254,-639.676,-496.671,994.145
1747226739670660,-636.299,-494.623,989.643
1747226739671408,-636.292,-494.625,989.632
1747226739671571,-640.467,-497.321,995.312
1747226739673206,-636.692,-494.76,990.201
1747226739675917,-636.332,-494.502,989.667
1747226739679737,-642.048,-498.403,997.365
1747226739681597,-642.341,-498.591,997.871
1747226739684165,-641.453,-497.963,996.446
1747226739685462,-636.547,-494.719,990.024
1747226739686199,-641.212,-497.586,996.173
1747226739687161,-635.694,-494.086,988.719
1747226739687956,-635.65,-494.09,988.632
1747226739688012,-640.225,-497.054,994.856
1747226739691636,-635.105,-493.664,987.807
1747226739696094,-632.7,-492.256,984.732
1747226739696235,-639.295,-496.343,993.439
1747226739701157,-631.297,-491.293,982.783
1747226739702650,-636.329,-494.586,989.709
1747226739705653,-632.251,-491.939,984.08
1747226739706544,-640.387,-497.072,995.053
1747226739708621,-635.869,-494.242,989.018
1747226739710570,-642.496,-498.366,997.784
1747226739713986,-631.907,-491.696,983.59
1747226739714006,-632.495,-492.07,984.389
1747226739714466,-627.453,-487.818,977.792
1747226739715048,-628.695,-489.545,979.228
1747226739715258,-628.814,-489.626,979.39
1747226739715264,-628.576,-489.464,979.066
1747226739715401,-628.456,-489.383,978.904
1747226739715418,-628.933,-489.706,979.552
1747226739715772,-630.361,-490.665,981.491
1747226739715789,-630.243,-490.585,981.33
1747226739717455,-629.531,-490.119,980.364
1747226739717529,-627.616,-488.83,977.764
1747226739717893,-642.842,-498.608,998.028
1747226739718064,-635.406,-493.627,987.934
1747226739721520,-628.254,-489.2,978.566
1747226739721956,-639.688,-497.003,994.763
1747226739725040,-628.241,-489.236,978.593
1747226739725049,-629.314,-489.962,980.048
1747226739725063,-631.211,-491.238,982.624
1747226739725185,-630.98,-491.075,982.311
1747226739725223,-629.788,-490.283,980.692
1747226739725560,-628.002,-489.074,978.267
1747226739725581,-628.838,-489.64,979.403
1747226739725760,-631.334,-491.314,982.792
1747226739725930,-638.598,-496.103,992.665
1747226739726155,-627.155,-488.508,977.117
1747226739726412,-643.768,-499.245,999.335
1747226739726463,-635.056,-493.445,987.632
1747226739726630,-631.56,-491.478,983.121
1747226739727025,-632.393,-492.034,984.252
1747226739727191,-643.962,-499.7,999.899
1747226739727194,-630.38,-490.668,981.496
1747226739727425,-627.758,-488.901,977.936
1747226739727499,-631.566,-491.463,983.107
1747226739727517,-627.998,-489.063,978.262
1747226739728277,-628.938,-489.687,979.559
1747226739728341,-628.819,-489.606,979.397
1747226739728367,-626.643,-488.148,976.442
1747226739728752,-628.814,-489.61,979.391
1747226739728760,-642.622,-498.73,998.224
1747226739728965,-628.699,-489.525,979.235
1747226739729044,-628.58,-489.444,979.073
1747226739729408,-629.295,-489.928,980.044
1747226739729420,-628.46,-489.364,978.911
1747226739729491,-628.015,-489.038,978.241
1747226739729510,-626.812,-488.224,976.609
1747226739729581,-627.536,-488.714,977.591
1747226739729802,-628.135,-489.119,978.404
1747226739729949,-628.968,-489.683,979.535
1747226739730131,-632.765,-492.229,984.691
1747226739730535,-629.328,-489.92,980.025
1747226739730737,-630.027,-490.464,981.039
1747226739730780,-627.274,-488.608,977.301
1747226739730904,-629.548,-490.147,980.388
1747226739730904,-626.644,-488.225,976.442
1747226739730921,-629.552,-490.143,980.395
1747226739730964,-629.196,-489.902,979.911
1747226739731288,-626.788,-488.279,976.642
1747226739731373,-630.382,-490.704,981.521
1747226739731419,-626.766,-488.307,976.607
1747226739731651,-628.6,-489.498,979.102
1747226739731675,-630.145,-490.544,981.2
1747226739731687,-628.839,-489.66,979.426
1747226739731692,-630.5,-490.784,981.681
1747226739731912,-630.521,-490.762,981.667
1747226739732213,-639.352,-496.379,993.496
1747226739732263,-628.096,-489.201,978.414
1747226739732513,-626.323,-487.943,975.967
