timestamp,x,y,z
1747313346082437,-494.33,-162.289,798.505
1747313346082703,-493.942,-163.707,797.907
1747313346083108,-514.813,-167.917,826.376
1747313346083123,-495.21,-159.477,799.84
1747313346083288,-535.71,-183.686,854.62
1747313346083386,-584.846,-190.68,921.512
1747313346083496,-514.016,-170.852,825.15
1747313346083523,-537.599,-158.971,857.533
1747313346083536,-495.275,-156.329,799.944
1747313346083539,-474.666,-164.468,771.643
1747313346083680,-515.897,-158.501,828.028
1747313346083906,-495.339,-153.181,800.049
1747313346083908,-495.146,-162.625,799.736
1747313346083949,-474.743,-161.437,771.767
1747313346083978,-559.238,-190.524,886.627
1747313346083982,-515.575,-153.45,827.558
1747313346084092,-515.688,-168.272,827.691
1747313346084103,-493.858,-166.84,797.774
1747313346084181,-494.682,-164.022,799.035
1747313346084198,-516.108,-148.723,828.37
1747313346084257,-495.21,-159.477,799.84
1747313346084319,-475.579,-155.662,773.056
1747313346084452,-535.605,-187.034,854.455
1747313346084483,-474.899,-155.371,772.017
1747313346084674,-515.343,-163.21,827.187
1747313346084690,-495.038,-148.302,799.609
1747313346084941,-492.445,-167.478,800.473
1747313346085173,-491.61,-170.292,799.188
1747313346085282,-476.006,-154.301,773.704
1747313346085301,-473.32,-162.038,774.302
1747313346085337,-495.275,-156.329,799.944
1747313346085428,-513.628,-183.79,824.537
1747313346085451,-472.365,-160.08,772.829
1747313346085564,-475.711,-149.577,773.27
1747313346085584,-495.469,-146.881,800.261
1747313346085629,-494.642,-149.73,799.004
1747313346085685,-516.037,-151.983,828.255
1747313346085724,-512.692,-164.991,828.165
1747313346085848,-475.947,-157.347,773.607
1747313346085920,-475.777,-146.534,773.377
1747313346085959,-513.682,-195.278,824.604
1747313346085982,-491.605,-159.173,799.194
1747313346086034,-641.5,-236.211,998.477
1747313346086196,-538.174,-154.078,858.403
1747313346086236,-473.758,-160.685,774.97
1747313346086280,-514.037,-182.337,825.167
1747313346086345,-493.042,-159.778,801.395
1747313346086357,-495.535,-143.73,800.367
1747313346086384,-494.72,-146.588,799.13
1747313346086401,-473.817,-157.635,775.068
1747313346086404,-557.072,-187.439,888.696
1747313346086433,-491.693,-167.155,799.322
1747313346086497,-472.463,-167.804,772.973
1747313346086542,-454.96,-161.209,749.094
1747313346086611,-473.699,-163.734,774.873
1747313346086616,-475.135,-146.267,772.395
1747313346086621,-493.722,-187.365,797.528
1747313346086651,-472.843,-166.439,773.562
1747313346086794,-642.955,-232.864,1000.65
1747313346086825,-475.843,-143.49,773.485
1747313346086847,-456.913,-143.035,747.539
1747313346086850,-454.604,-162.534,748.539
