timestamp,x,y,z
1747312114740151,-402.604,-299.714,708.54
1747312114740163,-403.158,-298.725,709.442
1747312114740168,-333.917,-230.723,579.608
1747312114740190,-475.258,-193.84,772.474
1747312114740213,-383.243,-245.32,693.478
1747312114740215,-356.593,-232.899,654.564
1747312114740221,-426.93,-278.541,726.373
1747312114740225,-501.637,-330.54,876.557
1747312114740242,-534.282,-377.278,897.031
1747312114740245,-279.628,-200.607,505.894
1747312114740245,-303.643,-231.642,573.825
1747312114740277,-560.972,-389.785,935.505
1747312114740280,-510.625,-364.715,863.052
1747312114740284,-366.256,-252.943,676.951
1747312114740290,-384.366,-192.557,667.246
1747312114740302,-374.897,-225.058,673.479
1747312114740312,-404.967,-219.682,712.577
1747312114740323,-420.995,-187.306,702.28
1747312114740360,-398.952,-195.798,687.805
1747312114740384,-414.38,-291.635,734.247
1747312114740402,-531.656,-314.195,904.416
1747312114740405,-429.704,-206.583,730.916
1747312114740405,-376.384,-208.411,671.568
1747312114740410,-371.848,-235.42,672.857
1747312114740427,-413.637,-201.609,708.353
1747312114740439,-378.68,-265.092,695.05
1747312114740451,-437.122,-188.907,724.428
1747312114740456,-381.955,-251.744,695.923
1747312114740478,-324.956,-238.233,604.963
1747312114740493,-392.503,-178.345,663.368
1747312114740500,-376.577,-220.506,671.853
1747312114740500,-366.913,-196.636,650.22
1747312114740525,-369.301,-190.152,649.911
1747312114740526,-459.422,-310.223,814.071
1747312114740560,-367.538,-246.675,674.598
1747312114740564,-372.804,-228.037,674.453
1747312114740578,-380.209,-201.019,669.11
1747312114740598,-435.392,-190.838,726.225
1747312114740601,-367.236,-195.541,650.754
1747312114740604,-368.186,-279.887,671.099
1747312114740605,-355.477,-274.792,652.583
1747312114740614,-494.341,-203.474,798.422
1747312114740616,-363.392,-207.839,652.939
1747312114740627,-363.57,-262.265,676.951
1747312114740638,-314.538,-236.994,589.85
1747312114740666,-561.006,-308.377,935.767
1747312114740669,-358.386,-225.94,653.218
1747312114740674,-444.205,-210.507,755.586
1747312114740682,-503.537,-359.968,868.278
1747312114740692,-355.523,-272.243,652.665
1747312114740694,-364.525,-254.386,674.021
1747312114740727,-370.701,-231.021,675.422
1747312114740733,-398.643,-244.862,716.141
1747312114740741,-388.216,-182.662,664.939
1747312114740750,-407.638,-212.603,712.314
1747312114740750,-410.43,-202.714,707.731
1747312114740756,-477.814,-317.022,840.978
1747312114740767,-304.304,-232.151,574.943
1747312114740776,-392.623,-207.568,690.855
1747312114740776,-394.244,-174.01,661.967
1747312114740777,-601.778,-350.628,959.976
1747312114740784,-421.381,-294.943,731.378
1747312114740793,-376.697,-212.593,672.07
1747312114740795,-375.912,-214.774,670.778
1747312114740830,-370.253,-232.067,674.679
1747312114740831,-271.709,-209.062,509.51
1747312114740831,-350.497,-256.026,657.462
1747312114740839,-423.788,-181.826,702.289
1747312114740851,-574.756,-337.041,922.617
1747312114740856,-425.358,-213.026,733.27
1747312114740857,-534.285,-306.545,902.888
1747312114740865,-360.939,-214.331,653.169
1747312114740866,-350.077,-257.014,656.74
1747312114740877,-363.032,-208.908,652.342
1747312114740879,-390.826,-217.644,692.384
1747312114740880,-374.238,-283.891,667.86
1747312114740923,-431.05,-200.061,728.479
1747312114740923,-448.12,-205.115,752.307
1747312114740949,-362.66,-264.271,675.397
1747312114740999,-430.64,-201.288,727.829
1747312114741013,-374.163,-219.269,672.293
1747312114741025,-405.503,-284.407,708.698
1747312114741051,-342.841,-237.67,616
1747312114741054,-466.371,-210.521,777.786
1747312114741068,-349.629,-260.573,655.96
1747312114741069,-318.686,-237.313,585.029
1747312114741075,-365.781,-253.947,676.151
1747312114741077,-396.516,-197.252,688.295
1747312114741077,-494.401,-200.336,798.521
1747312114741091,-455.128,-193.979,749.269
1747312114741116,-392.492,-215.703,690.622
1747312114741122,-444.692,-276.286,751.464
1747312114741124,-379.713,-260.312,696.793
1747312114741125,-410.604,-290.609,703.33
1747312114741182,-443.167,-215.941,753.939
1747312114741185,-405.312,-226.942,713.111
1747312114741187,-376.657,-215.231,671.997
1747312114741197,-364.088,-258.618,677.836
1747312114741216,-360.984,-211.771,653.25
1747312114741232,-296.748,-224.221,560.665
1747312114741256,-263.502,-204.274,497.894
1747312114741276,-433.527,-201.37,727.807
1747312114741287,-568.999,-343.327,925.054
1747312114741303,-360.494,-220.51,652.41
1747312114741312,-333.84,-252.067,621.499
1747312114741320,-367.58,-244.033,674.676
1747312114741339,-380.534,-269.642,665.174
1747312114741340,-302.082,-235.567,575.058
1747312114741341,-389.995,-217.15,691.039
1747312114741347,-518.548,-261.221,864.94
1747312114741347,-381.992,-249.015,695.992
1747312114741351,-478.097,-338.815,797.599
1747312114741357,-474.751,-195.135,771.708
1747312114741366,-439.543,-290.098,752.774
1747312114741368,-385.98,-233.014,693.464
1747312114741372,-454.644,-195.231,748.53
1747312114741373,-428.193,-267.848,728.388
1747312114741387,-367.623,-241.39,674.754
1747312114741392,-313.427,-228.427,571.096
1747312114741397,-398.603,-194.245,687.255
1747312114741400,-404.868,-290.959,707.656
1747312114741441,-332.148,-235.501,600.938
1747312114741466,-422.679,-217.442,733.657
1747312114741468,-423.663,-285.892,730.387
1747312114741476,-392.555,-175.739,663.455
1747312114741532,-376.384,-208.411,671.568
1747312114741536,-389.708,-262.109,690.455
1747312114741558,-423.167,-216.257,734.438
1747312114741566,-422.218,-218.635,732.914
1747312114741571,-353.402,-277.728,653.462
1747312114741571,-406.79,-212.124,710.954
1747312114741576,-363.123,-203.792,652.505
1747312114741581,-431.904,-200.504,729.81
1747312114741586,-440.057,-294.919,753.577
1747312114741586,-367.629,-262.332,647.034
1747312114741593,-376.412,-275.658,667.084
1747312114741609,-408.248,-277.404,708.582
1747312114741618,-389.976,-283.582,686.373
1747312114741674,-415.799,-195.727,707.323
1747312114741679,-362.791,-204.878,651.949
1747312114741693,-401.069,-190.092,686.83
1747312114741711,-399.967,-193.573,685.07
1747312114741725,-369.827,-233.123,673.966
1747312114741726,-390.465,-282.583,687.172
1747312114741730,-376.778,-207.315,672.216
1747312114741731,-294.019,-224.892,559.823
1747312114741746,-369.421,-234.187,673.283
1747312114741775,-376.01,-209.515,670.952
1747312114741781,-480.162,-226.049,806.103
1747312114741785,-259.483,-186.232,486.71
1747312114741792,-406.59,-178.087,682.667
1747312114741794,-382.418,-190.228,668.398
1747312114741804,-443.019,-284.52,753.527
1747312114741824,-512.021,-212.304,827.04
1747312114741826,-266.371,-191.707,496.093
1747312114741829,-421.403,-183.336,702.928
1747312114741841,-290.831,-175.3,530.072
1747312114741844,-299.602,-179.279,542.198
1747312114741898,-382.104,-240.823,696.2
1747312114741899,-380.209,-201.019,669.11
1747312114741909,-450.106,-296.423,745.899
1747312114741936,-341.376,-236.235,596.541
1747312114741940,-426.449,-281.538,730.19
1747312114741949,-304.279,-234.41,574.895
1747312114741967,-410.952,-273.18,708.392
1747312114741984,-367.283,-192.987,650.836
1747312114742014,-403.158,-298.725,709.442
1747312114742018,-359.916,-224.356,655.769
1747312114742019,-302.778,-234.388,555.821
1747312114742033,-437.248,-296.472,753.888
1747312114742044,-430.734,-297.429,723.226
1747312114742050,-398.286,-270.122,715.484
1747312114742056,-369.301,-190.152,649.911
1747312114742074,-400.365,-189.714,685.717
1747312114742094,-405.479,-215.74,713.412
1747312114742103,-349.722,-255.447,656.132
1747312114742115,-352.993,-243.796,612.587
1747312114742175,-378.139,-203.949,670.077
1747312114742191,-332.543,-227.876,581.105
1747312114742191,-423.213,-213.373,734.519
1747312114742192,-448.615,-203.873,753.078
1747312114742193,-321.043,-246.004,606.497
1747312114742194,-278.01,-215.924,521.326
1747312114742197,-299.85,-178.366,542.608
1747312114742220,-379.42,-291.096,691.58
1747312114742223,-331.8,-229.651,579.925
1747312114742250,-388.774,-290.108,688.863
1747312114742251,-441.93,-216.807,756.743
1747312114742252,-350.519,-204.409,634.352
1747312114742253,-377.107,-258.989,697.092
1747312114742259,-456.792,-191.952,747.259
1747312114742277,-364.783,-252.692,628.784
1747312114742280,-457.271,-190.697,747.988
1747312114742303,-366.525,-281.937,672.802
1747312114742311,-360.74,-207.732,652.85
1747312114742312,-373.565,-213.568,671.312
1747312114742317,-457.323,-187.755,748.073
1747312114742324,-475.258,-193.84,772.474
1747312114742335,-351.675,-248.918,610.496
1747312114742340,-398.341,-190.013,686.846
1747312114742347,-364.088,-258.618,677.836
1747312114742348,-471.332,-300.317,770.933
1747312114742349,-363.607,-259.613,677.022
1747312114742360,-330.285,-235.924,581.188
1747312114742382,-391.832,-265.71,719.039
1747312114742389,-575.473,-399.896,979.048
1747312114742434,-374.709,-282.928,668.638
1747312114742436,-470.926,-197.589,775.282
1747312114742436,-371.6,-188.775,649.447
1747312114742437,-385.455,-191.837,668.982
1747312114742446,-363.72,-251.655,677.236
1747312114742476,-515.779,-346.627,860.395
1747312114742480,-390.043,-214.441,691.123
1747312114742497,-404.967,-219.682,712.577
1747312114742503,-365.452,-247.028,675.616
1747312114742504,-408.163,-282.955,708.433
1747312114742506,-444.155,-213.475,755.499
1747312114742511,-375.039,-214.475,673.741
1747312114742512,-390.904,-212.205,692.525
1747312114742515,-488.931,-206.905,799.89
1747312114742529,-419.258,-189.167,703.941
1747312114742533,-452.597,-192.626,749.985
1747312114742537,-301.483,-232.82,574.038
1747312114742542,-470.417,-198.883,774.502
1747312114742560,-458.467,-299.915,812.509
1747312114742566,-312.299,-235.857,590.054
1747312114742591,-374.238,-283.891,667.86
1747312114742609,-351.005,-249.888,658.345
1747312114742615,-411.559,-201.934,709.542
1747312114742616,-551.774,-376.097,938.724
1747312114742621,-423.137,-181.493,701.278
1747312114742630,-407.223,-210.96,711.655
1747312114742634,-404.277,-179.559,683.298
1747312114742639,-434.694,-190.478,725.132
