timestamp,x,y,z
1746708332746555,-47.5928,67.4178,416.881
1746708332746560,39.1718,20.0416,97.3177
1746708332746563,156.445,-35.1508,262.619
1746708332746563,144.109,16.9938,276.481
1746708332746565,-210.206,-383.113,-2213.07
1746708332746566,21.2679,41.6131,210.412
1746708332746569,38.174,-9.83906,78.6438
1746708332746572,149.403,-9.14832,361.288
1746708332746579,155.837,-24.0431,262.183
1746708332746582,46.1333,21.1195,81.3223
1746708332746584,156.385,-18.2181,234.969
1746708332746594,108.623,-5.48631,331.548
1746708332746597,1.85595,26.0798,146.831
1746708332746600,133.351,6.47433,212.22
1746708332746604,64.1717,8.23162,143.041
1746708332746604,149.147,-64.2252,345.732
1746708332746605,78.4228,-1.64021,239.362
1746708332746605,55.8619,-4.41096,-154.248
1746708332746623,50.5313,-15.5068,90.7132
1746708332746624,127.121,-110.287,336.297
1746708332746628,184.359,-11.0004,364.019
1746708332746630,36.8943,-4.44175,107.703
1746708332746631,40.1816,-16.7366,162.217
1746708332746632,197.467,25.7642,353.428
1746708332746633,28.1407,23.3324,195.337
1746708332746635,42.3677,-7.81187,96.6401
1746708332746644,-777.912,-614.127,-3063.45
1746708332746645,-46.0198,50.7483,389.926
1746708332746656,25.9791,33.5645,104.636
1746708332746667,62.7987,-23.4444,158.555
1746708332746669,751.781,-44.1286,2245.6
1746708332746671,150.411,-9.00362,241.632
1746708332746671,193.117,-62.998,436.498
1746708332746673,46.7319,19.4374,93.6112
1746708332746676,-173.288,242.872,-2001.3
1746708332746677,220.668,-165.417,591.178
1746708332746678,1191.16,294.826,4062.93
1746708332746682,56.9588,-4.46163,109.436
1746708332746683,63.5864,8.50138,143.009
1746708332746688,141.828,1.30446,512.819
1746708332746693,-8.94505,-20.3428,-380.443
1746708332746696,67.8987,-6.21243,135.697
1746708332746698,61.5086,4.72257,96.7631
1746708332746700,1739.62,230.59,-5063.83
1746708332746702,105.972,-45.2508,238.082
1746708332746704,44.5733,6.00143,106.2
1746708332746706,184.163,-33.1684,313.382
1746708332746706,83.8589,30.7453,148.686
1746708332746708,44.0495,10.1807,78.4498
1746708332746711,-873.973,-441.563,-7374.51
1746708332746722,163.702,-7.30359,263.405
1746708332746725,14.9511,40.1027,123.407
1746708332746736,129.931,0.422463,221.98
1746708332746737,420.08,-194.861,-1065.73
1746708332746760,-707.828,289.625,-2817.48
1746708332746771,-355.348,-512.478,-2709.65
1746708332746773,179.188,-29.8461,335.173
1746708332746780,242.331,13.5351,522.831
1746708332746780,358.075,356.286,1670.18
1746708332746784,45.2176,2.75291,140.998
1746708332746785,66.8447,26.3151,-136.62
1746708332746785,322.625,-166.598,3850.49
1746708332746786,169.864,-66.6341,298.06
1746708332746787,-12.1227,-4.11458,-783.4
1746708332746799,30.3794,16.5336,140.235
1746708332746802,107.76,-6.34139,345.132
1746708332746805,708.861,53.3232,2235.09
1746708332746810,78.8014,1.67157,156.616
1746708332746826,5.06012,17.3545,166.103
1746708332746828,66.3902,3.43357,137.53
1746708332746833,-28813.3,15508.5,87508
1746708332746844,16.5075,-1.2497,111.204
1746708332746844,110.979,28.7072,172.599
1746708332746847,352.389,-138.676,1159.36
1746708332746852,68.0476,-5.11021,129.724
1746708332746854,126.942,-116.905,431.481
1746708332746855,237.759,24.8897,-682.808
1746708332746857,49.3646,-3.02764,80.8457
1746708332746871,119.269,7.64498,227.617
1746708332746877,70.7275,8.31774,107.874
1746708332746881,71.4142,-24.556,-208.688
1746708332746882,116.977,6.11276,221.614
1746708332746884,110.071,6.15019,269.221
1746708332746886,48.0303,-27.9589,-202.323
1746708332746892,115.347,-11.4001,186.349
1746708332746894,188.57,-54.8847,368.086
1746708332746896,18.1061,23.8147,120.336
1746708332746904,268.025,0.0689168,797.732
1746708332746913,133.374,-19.1866,225.171
1746708332746914,74.9062,27.81,126.797
1746708332746914,168.099,17.5306,320.672
1746708332746917,29.6292,-6.16909,91.1737
1746708332746926,194.21,-12.7004,629.79
1746708332746931,106.311,34.2504,178.311
1746708332746936,74.251,5.446,113.629
1746708332746942,108.764,40.8504,322.52
1746708332746948,122.034,-7.60322,197.357
1746708332746952,96.5504,-67.4539,400.684
1746708332746952,38.4379,26.2149,248.947
1746708332746959,-394.158,-94.1497,795.73
1746708332746961,42.63,-2.87389,97.7337
1746708332746970,21.4758,-13.8983,338.204
1746708332746970,142.559,18.1132,245.061
1746708332746971,711.368,-10.5016,-1921.79
1746708332746972,106.34,11.5105,164.191
1746708332746980,115.457,-11.2823,186.528
1746708332746983,48.7669,15.6496,79.3829
1746708332746988,326.813,-124.953,1059.4
1746708332747051,124.485,-33.2491,310.211
1746708332747053,111.564,-1.35351,185.636
1746708332747059,-40.045,92.3287,393.777
1746708332747060,116.066,20.7813,201.56
1746708332747063,23.2172,-14.2479,145.969
1746708332747065,104.312,-45.1546,242.53
1746708332747065,116.183,-4.49372,354.621
1746708332747069,50.83,-0.807462,124.64
1746708332747073,270.325,9.80552,1186.6
1746708332747073,800.154,-1177.06,12653.8
1746708332747168,62.3586,3.0044,149.172
1746708332747183,-61.5606,98.1889,341.603
1746708332756547,50.8494,9.05246,76.6517
1746708332756549,700.119,133.005,1993.63
1746708332756557,59.4116,7.41334,95.7429
1746708332756559,78.6007,0.666789,237.116
1746708332756559,-105.181,50.789,279.361
1746708332756561,124.747,-31.4068,241.053
1746708332756563,27.815,11.381,121.124
1746708332756565,119.277,-11.6226,287.875
1746708332756570,117.909,-86.2786,466.05
1746708332756575,148.078,-68.0353,244.344
1746708332756575,-29.7489,53.2014,205.397
1746708332756576,73.2185,25.8019,118.992
1746708332756583,51.0491,-11.1357,158.833
1746708332756584,32.1527,1.34753,96.9917
1746708332756585,-0.3622,-19.8076,190.766
1746708332756594,44.5122,11.5265,78.9069
1746708332756595,123.522,-53.5338,219.037
1746708332756607,30.257,-18.1826,85.1824
1746708332756616,192.169,-80.3886,437.112
1746708332756619,43.6447,14.9366,80.2315
1746708332756621,138.594,31.0897,334.398
1746708332756630,246.432,-120.332,646.352
1746708332756638,43.6265,-0.819423,78.5135
1746708332756640,114.509,-14.8914,185.365
1746708332756641,42.0773,14.2393,143.618
1746708332756644,189.241,-22.6608,303.205
1746708332756650,88.4617,-13.6103,142.114
1746708332756656,281.27,43.3956,670.906
1746708332756662,121.093,8.72724,279.574
1746708332756662,35223.7,73695.8,374546
1746708332756662,53.59,7.20453,186.097
1746708332756688,-8.86924,-53.5728,-1100.35
1746708332756702,-4.13206,67.2781,280.56
1746708332756702,50.8911,-14.2907,119.656
1746708332756708,60.459,-4.99153,96.8118
1746708332756709,87.5694,7.60665,148.891
1746708332756722,248.275,64.7232,731.94
1746708332756724,166.366,4.0266,307.303
1746708332756726,73.4097,17.8648,-198.873
1746708332756734,90.0937,49.5347,-222.711
1746708332756734,199.455,17.683,329.73
1746708332756734,44.6982,11.6453,77.9101
1746708332756736,77.5266,-3.77328,-219.145
1746708332756738,152.038,-26.3696,518.979
1746708332756748,347.059,16.6753,840.711
1746708332756751,120.075,-10.3901,298.61
1746708332756752,24.2691,19.9331,110.783
1746708332756753,57.0231,-16.9367,92.9643
1746708332756753,30.4195,13.967,99.7708
1746708332756755,258.65,-118.787,-685.433
1746708332756763,32.2232,99.9049,276.751
1746708332756763,112.017,11.4372,-281.864
1746708332756763,240.869,-7.22042,456.131
1746708332756767,49.7947,10.9806,80.7494
1746708332756769,802.418,65.384,2390.82
1746708332756772,56.7229,-11.2353,138.017
1746708332756773,63.8763,-25.2274,111.684
1746708332756776,116.79,43.9094,347.982
1746708332756779,-2.27393,0.136956,134.26
1746708332756789,145.314,37.2104,215.204
1746708332756793,-9.21297,59.6846,164.909
1746708332756798,140.678,-40.762,415.545
1746708332756799,132.187,44.6973,293.946
1746708332756802,123.62,-44.2428,335.499
1746708332756805,37.7294,-21.2606,103.347
1746708332756805,198.498,-64.8956,469.442
1746708332756813,55.654,-1.27464,228.986
1746708332756816,136.509,1.16723,262.437
1746708332756816,26.4169,20.0698,184.919
