timestamp,x,y,z
1746708683076756,-111.542,-45.0722,311.046
1746708683076761,-96.9999,-84.7352,284.582
1746708683076945,-110.391,-29.1104,318.782
1746708683077143,-93.1486,-82.407,276.84
1746708683077191,-127.024,-91.2472,332.801
1746708683077386,-111.081,-92.4293,304.348
1746708683077416,-82.4472,-65.795,284.426
1746708683077601,-73.7697,-67.3934,255.251
1746708683077671,-193.482,-66.5204,439.527
1746708683077880,-75.8897,-74.3592,252.813
1746708683078131,-75.6776,-70.2823,253.662
1746708683078403,-96.356,-83.5842,281.995
1746708683078480,-75.6362,-71.6582,252.303
1746708683078500,-116.938,-93.6855,317.137
1746708683078522,-120.863,-89.8536,322.617
1746708683078608,-122.499,-96.5959,324.004
1746708683078683,-100.439,-82.7717,293.002
1746708683078774,-93.1703,-79.2223,278.208
1746708683078918,-125.074,-98.7826,326.225
1746708683078937,-118.374,-98.6882,315.909
1746708683079131,-130.45,-46.9189,338.27
1746708683079154,-135.874,-88.1199,352.067
1746708683079351,-127.891,-90.0603,339.325
1746708683079353,-116.782,-71.3633,307.67
1746708683079384,-77.2381,-70.7372,254.648
1746708683079397,-117.993,-81.4732,340.26
1746708683079696,-121.352,-93.9289,314.973
1746708683079716,-111.813,-77.6459,304.033
1746708683079797,-122.933,-97.7962,320.897
1746708683079858,-75.0683,-74.886,244.376
1746708683079986,-209.226,-54.8588,467.138
1746708683337188,523.243,-62.2572,-753.444
1746708684714428,73.5862,3.52742,-121.789
1746708687656566,-20.71,-65.8758,-1740.48
1746708687656592,20.6348,-101.684,-423.694
1746708687656593,77.7483,66.53,229.213
1746708687656639,74.3056,-1.81821,127.519
1746708687656639,289.921,-18.8736,1095.98
1746708687656645,106.425,18.8408,167.907
1746708687656646,74.2215,-1.85496,128.115
1746708687656647,-1609.04,-680.476,-7580.89
1746708687656660,103.708,-78.5393,507.649
1746708687656665,191.318,51.6817,330.83
1746708687656666,33.4781,-5.33254,128.891
1746708687656667,47.2788,36.5968,185.175
1746708687656686,52.0691,3.84098,88.8094
1746708687656686,138.152,-0.0122548,230.447
1746708687656729,94.2446,-88.1312,359.722
1746708687656734,146.595,15.0963,251.954
1746708687656754,166.468,2.19179,278.388
